Omnitracs, LLC;;;;;;;;;;;
;;;;;;;;;;;
Data/hora de impressão:  07/04/2025 14:44;;;;;;;;;;Página 1 de 74;
Resumo do Formulário Personalizado;;;;;;;;;;;
;;;;;;;;;;;
Região:  BR40 - BR40;;;;;;;;;;;
;;;;;;;;;;;
01/01/2025  - 31/03/2025 ;;;;;;;;;;;
;;;;;;;;;;;
Agrupar por:  Motorista;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;Motorista:   da Silva, Revair;;;;;;;;;;
;;;;;;;;;;;
;;Cliente tem oportunidade de recolha?;;;;;Respostas;% de Respostas;;;
;;;;;;;;;;;
;;;False;;;92;95,8%;;███████████████████;;
;;;True;;;4;4,2%;;█;;
;;;;;;;;;;;
;;;;;;;;;;;
;;Quais produtos?;;;;;Respostas;% de Respostas;;;
;;;;;;;;;;;
;;;,0;;;1;1,0%;;;;
;;;0;;;89;92,7%;;███████████████████;;
;;;1helix;;;1;1,0%;;;;
;;;2acetilno aa,1 oxido nitroso aa;;;1;1,0%;;;;
;;;8;;;1;1,0%;;;;
;;;ar comprimido;;;1;1,0%;;;;
;;;nem um;;;1;1,0%;;;;
;;;ogixenio medicinal;;;1;1,0%;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;Qual a quantidade?;;;;;Respostas;% de Respostas;;;
;;;;;;;;;;;
;;;0,00;;;92;95,8%;;███████████████████;;
;;;1,00;;;1;1,0%;;;;
;;;15,00;;;1;1,0%;;;;
;;;3,00;;;1;1,0%;;;;
;;;8,00;;;1;1,0%;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;Qual o nome do responsável?;;;;;Respostas;% de Respostas;;;
;;;;;;;;;;;
;;;000;;;1;1,0%;;;;
;;;adriano;;;2;2,1%;;;;
;;;Adriano reina;;;1;1,0%;;;;
;;;Alisson;;;2;2,1%;;;;
;;;Anderson;;;7;7,3%;;█;;
;;;Anderson batista Alves;;;1;1,0%;;;;
;;;Andrei;;;1;1,0%;;;;
;;;Bruno;;;3;3,1%;;█;;
;;;Bruno zarzycki;;;2;2,1%;;;;
;;;Carlos Feola;;;1;1,0%;;;;
;;;Celso;;;1;1,0%;;;;
;;;Daniel;;;1;1,0%;;;;
;;;Daniel batista;;;1;1,0%;;;;
;;;decio peccin;;;1;1,0%;;;;
;;;Décio peccin;;;1;1,0%;;;;
;;;Deivison;;;2;2,1%;;;;
;;;Deivison Gomes;;;1;1,0%;;;;
;;;dietor;;;1;1,0%;;;;
;;;Dinarte;;;2;2,1%;;;;
;;;Edson 013-997865985;;;1;1,0%;;;;
;;;Elenilson;;;1;1,0%;;;;
;;;erlon;;;1;1,0%;;;;
;;;everton;;;1;1,0%;;;;
;;;Fabrício;;;1;1,0%;;;;
;;;felipe;;;1;1,0%;;;;
;;;Ferdinanda;;;1;1,0%;;;;
;;;gefferson;;;1;1,0%;;;;
;;;gilson;;;1;1,0%;;;;
;;;Giuliano;;;1;1,0%;;;;
;;;Guilherme;;;5;5,2%;;█;;
;;;isaac;;;1;1,0%;;;;
;;;izoel;;;1;1,0%;;;;
;;;Jackson;;;2;2,1%;;;;
;;;Jonas;;;1;1,0%;;;;
;;;Ju selene;;;1;1,0%;;;;
;;;Leonardo Rodrigues;;;1;1,0%;;;;
;Motorista:   da Silva, Revair;;;;;;;;;;
;;;lindinsaiy;;;1;1,0%;;;;
;;;Luan;;;2;2,1%;;;;
;;;Luiz;;;1;1,0%;;;;
;;;Marcelo;;;3;3,1%;;█;;
;;;marcio;;;1;1,0%;;;;
;;;Márcio;;;1;1,0%;;;;
;;;Matheus Cunha;;;1;1,0%;;;;
;;;Michele Dias;;;1;1,0%;;;;
;;;Mozart tosin;;;1;1,0%;;;;
;;;Nilton;;;2;2,1%;;;;
;;;otonael monteiro;;;1;1,0%;;;;
;;;Raimundo;;;3;3,1%;;█;;
;;;Raimundo Silva;;;1;1,0%;;;;
;;;Ricardo;;;1;1,0%;;;;
;;;Richard;;;1;1,0%;;;;
