Omnitracs, LLC;;;;;;;;;;;
;;;;;;;;;;;
Data/hora de impressão:  07/04/2025 13:54;;;;;;;;;;Página 1 de 84;
Resumo do Formulário Personalizado;;;;;;;;;;;
;;;;;;;;;;;
Região:  BR30 - BR30;;;;;;;;;;;
;;;;;;;;;;;
01/01/2025  - 31/03/2025 ;;;;;;;;;;;
;;;;;;;;;;;
Agrupar por:  Motorista;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;Motorista:  , Cristiano;;;;;;;;;;
;;;;;;;;;;;
;;Cliente tem oportunidade de recolha?;;;;;Respostas;% de Respostas;;;
;;;;;;;;;;;
;;;False;;;61;96,8%;;███████████████████;;
;;;True;;;2;3,2%;;█;;
;;;;;;;;;;;
;;;;;;;;;;;
;;Quais produtos?;;;;;Respostas;% de Respostas;;;
;;;;;;;;;;;
;;;0;;;28;44,4%;;█████████;;
;;;nada;;;1;1,6%;;;;
;;;não;;;32;50,8%;;██████████;;
;;;oxigênio 2/acetileno 2;;;1;1,6%;;;;
;;;oxigênio/acetileno;;;1;1,6%;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;Qual a quantidade?;;;;;Respostas;% de Respostas;;;
;;;;;;;;;;;
;;;0,00;;;61;96,8%;;███████████████████;;
;;;3,00;;;1;1,6%;;;;
;;;4,00;;;1;1,6%;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;Qual o nome do responsável?;;;;;Respostas;% de Respostas;;;
;;;;;;;;;;;
;;;Denia Trindade;;;1;1,6%;;;;
;;;Meeser;;;1;1,6%;;;;
;;;Messer;;;26;41,3%;;████████;;
;;;nada;;;1;1,6%;;;;
;;;não;;;31;49,2%;;██████████;;
;;;sem responsável;;;2;3,2%;;█;;
;;;Wander;;;1;1,6%;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;Qual o contato do responsável?;;;;;Respostas;% de Respostas;;;
;;;;;;;;;;;
;;;nada;;;1;3,0%;;█;;
;;;não;;;32;97,0%;;███████████████████;;
;;;;;;;;;;;
;Motorista:  Bitelo, Maicon Uilian;;;;;;;;;;
;;;;;;;;;;;
;;Cliente tem oportunidade de recolha?;;;;Respostas;% de Respostas;;;;
;;;;;;;;;;;
;;;False;;;81;96,4%;;███████████████████;;
;;;True;;;3;3,6%;;█;;
;;;;;;;;;;;
;;;;;;;;;;;
;;Quais produtos?;;;;Respostas;% de Respostas;;;;
;;;;;;;;;;;
;;;0;;;9;10,7%;;██;;
;;;hélio cientifico;;;1;1,2%;;;;
;;;nao;;;36;42,9%;;█████████;;
;;;não;;;12;14,3%;;███;;
;;;nem um;;;3;3,6%;;█;;
;;;nenhum;;;21;25,0%;;█████;;
;;;nitrogênio;;;1;1,2%;;;;
;;;nso;;;1;1,2%;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;Qual a quantidade?;;;;Respostas;% de Respostas;;;;
;;;;;;;;;;;
;;;0,00;;;82;97,6%;;████████████████████;;
;;;1,00;;;1;1,2%;;;;
;;;3,00;;;1;1,2%;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;Qual o nome do responsável?;;;;Respostas;% de Respostas;;;;
;;;;;;;;;;;
;;;0;;;7;8,3%;;██;;
;;;abner;;;2;2,4%;;;;
;;;Alexandre;;;2;2,4%;;;;
;;;Anderson;;;2;2,4%;;;;
;;;andrei;;;1;1,2%;;;;
;;;biliandro;;;2;2,4%;;;;
;;;bruna;;;1;1,2%;;;;
;;;Camila;;;1;1,2%;;;;
;;;Carlos;;;1;1,2%;;;;
;;;Cassiano;;;1;1,2%;;;;
;;;césar;;;1;1,2%;;;;
;;;clovis;;;1;1,2%;;;;
;;;cristian;;;1;1,2%;;;;
;;;cristiano;;;1;1,2%;;;;
;;;daniel;;;1;1,2%;;;;
;;;danise;;;1;1,2%;;;;
;;;diego;;;1;1,2%;;;;
;;;eduardo;;;1;1,2%;;;;
;;;eloi;;;1;1,2%;;;;
;;;Francisco;;;1;1,2%;;;;
